1985.3	4385.7	12.80067	6.92611	5.11322
2035.3	4335.7	12.85902	6.94906	5.13863
2085.3	4285.7	12.91702	6.97182	5.16395
2135.3	4235.7	12.97473	6.99442	5.18919
2185.3	4185.7	13.03224	7.0169	5.21434
2235.3	4135.7	13.08963	7.03927	5.23944
2285.3	4085.7	13.14696	7.06157	5.26447
2335.3	4035.7	13.20432	7.08382	5.28945
2385.3	3985.7	13.26179	7.10605	5.3144
2435.3	3935.7	13.31944	7.12828	5.33931
2485.3	3885.7	13.37735	7.15055	5.3642
2535.3	3835.7	13.4356	7.17287	5.38908
2585.3	3785.7	13.49426	7.19529	5.41395
2635.3	3735.7	13.55341	7.21781	5.43883
2685.3	3685.7	13.61313	7.24048	5.46372
2735.3	3635.7	13.6735	7.26331	5.48863
2741	3630	13.68042	7.26593	5.49148
2741	3630	13.68044	7.26597	5.49148
2785.3	3585.7	13.69098	7.26563	5.51358
2835.3	3535.7	13.70302	7.2652	5.53856
2885.3	3485.7	13.71522	7.26471	5.5636
2891	3480	13.71662	7.26465	5.56646
2891	3480	8.06479	0	9.90344
2971	3400	8.19943	0	10.02942
3071	3300	8.36024	0	10.18136
3171	3200	8.51302	0	10.32727
3271	3100	8.65809	0	10.46729
3371	3000	8.79577	0	10.60153
3471	2900	8.92636	0	10.73013
3571	2800	9.05019	0	10.85322
3671	2700	9.16756	0	10.97092
3771	2600	9.2788	0	11.08336
3871	2500	9.38422	0	11.19067
3971	2400	9.48413	0	11.29298
4071	2300	9.57885	0	11.39042
4149.5	2221.5	9.64977	0	11.46358
4171	2200	9.66869	0	11.48311
4271	2100	9.75397	0	11.57119
4371	2000	9.835	0	11.65478
4471	1900	9.9121	0	11.73401
4571	1800	9.98558	0	11.809
4671	1700	10.05576	0	11.87989
4771	1600	10.12295	0	11.94681
4871	1500	10.18747	0	12.00988
4971	1400	10.24963	0	12.06923
5071	1300	10.30975	0	12.12499
5149.5	1221.5	10.35572	0	12.16633
5149.5	1221.5	11.02826	3.50431	12.76361
5153.9	1217.1	11.02994	3.50549	12.76595
5171	1200	11.03642	3.51002	12.77495
5271	1100	11.07249	3.53522	12.82503
5371	1000	11.10541	3.55823	12.87076
5471	900	11.1352	3.57905	12.91213
5571	800	11.16186	3.59767	12.94914
5671	700	11.18537	3.61411	12.98181
5771	600	11.20576	3.62835	13.01011
5871	500	11.223	3.64041	13.03406
5971	400	11.23711	3.65027	13.05366
6071	300	11.24809	3.65794	13.0689
6171	200	11.25593	3.66342	13.07979
6271	100	11.26063	3.6667	13.08632
6371	0	11.2622	3.6678	13.0885
